shitTime,Temperature,Humidity,Scored Probabilities
2021-04-06T19:17:54.8510000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:18:15.0120000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:18:35.1560000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:18:55.5040000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:19:15.6610000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:19:35.8220000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:19:55.9640000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:20:16.1250000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:20:36.2690000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:20:56.5230000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:21:16.6830000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:21:36.8300000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:21:57.0680000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:22:17.3410000Z,24.9,21,9.9028206022922E-05
2021-04-06T19:22:37.5940000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:22:57.7380000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:23:18.2100000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:23:38.4480000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:23:58.6220000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:24:18.9520000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:24:39.3030000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:24:59.4620000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:25:19.6070000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:25:39.7630000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:25:59.9070000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:26:20.0660000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:26:40.2240000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:27:00.5720000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:27:20.7170000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:27:41.0680000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:28:01.2280000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:28:21.3750000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:28:41.5360000Z,24.9,21,9.9028206022922E-05
2021-04-06T19:29:01.6810000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:29:21.8390000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:29:41.9960000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:30:02.1390000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:30:22.2990000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:30:42.4440000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:31:02.6040000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:31:22.7480000Z,24.8,20,9.9028206022922E-05
2021-04-06T19:31:42.9090000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:32:03.1610000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:32:23.3080000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:32:43.4680000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:33:03.6130000Z,24.9,20,9.9028206022922E-05
